;Demographics;;;;;Self Assesment;;;;;;;;;;General Attitude toward robots;;;;;;;;;;;;;;;;;;;;;;;;Nasa TLX;;;;;;;;;;;;;Nasa TlX;;;;;;;;;;;;;;;;;;;;;Post experiment;;;;;;;;;;;;;;;;;;
9/9/2025 15:54:03;P15;Male;28;Yes;4;4;3;3;3;4;3;3;3;3;3;3,2;32;4;3;5;4;5;1;4;1;1;1;5;5;5;4;5;5;3;1;1;1;73;21;8;24;11;Without pop-up questions;244;10;3;6;6;10;6;3;9;10;8;8;10;6;With pop-up questions;127;171;668;17;7;4;5;6;6;5;7;10;7;6;10;7;4;6;9;8;129;115;343;325;Reducing total completion time;which is going to be faster;robot perform really good ;individually no, maybe robot is better at math;yes;yes;im in the lead, i would consider the robot a tool not a team mate;what can the robot do whitout stopping.;no;would be interesting to see if the robot can solve the math problems and if i can also allocate the math problems to the robot, what I would choose
9/9/2025 16:58:31;P16;Female;25;No;4;3;2;3;3;3;4;4;2;3;2;2,9;29;4;3;5;5;5;1;2;1;1;3;5;5;5;5;4;3;2;2;5;2;70;22;8;24;14;Without pop-up questions;305;15;1;5;2;10;6;2;9;8;8;8;10;8;With pop-up questions;137;510;433;19;6;6;8;9;7;5;8;7;4;6;10;8;8;7;9;10;152;153;220;213;Reducing waiting time, Reducing total completion time, Workspace layout (how space is divided between me and the robot), Robot’s limitations for certain tasks, My safety (avoiding collisions with the robot);I thought about how I could allocate the tasks, so that I don't sit waiting around for the robot to finish certain tasks;very good, it was preciser than I thought and was moving in a sense that I could work around it;no;at the end yes, when I realised which allocation would make more sense;Yes definitely;I felt like a team, moreso I had the feeling that the robot was the lead and I was assisting it;the robot not being able to detect my hand, when working around it;not much, I had a good one from the beginning;try to make it even more efficient, so I can already place certain building parallel and try to put the screwing parts to the end
9/9/2025 18:02:15;P17;Male;33;Yes;4;4;2;4;2;2;4;2;4;3;3;3;30;5;4;4;4;2;1;2;2;1;1;5;5;5;5;4;3;2;2;4;4;69;19;7;24;15;Without pop-up questions;343;20;2;3;3;9;3;1;10;10;10;10;10;4;With pop-up questions;725;263;387;20;5;3;5;10;6;1;10;10;9;10;10;7;11;9;9;11;190;153;179;208;Reducing waiting time, Reducing total completion time, Workspace layout (how space is divided between me and the robot), Robot’s limitations for certain tasks;I tried to maximiye parallel tasks.;It would be great if it could do the screw task.;no;zes;if it was faster yes.;I was the lead.;Speed and movement direction.;yes when I found out how high it brings the objects. I tried to avoid being on its way by changing task order.;I would give the last parts of hostpital to myself because the robot did not align them well.
9/10/2025 14:02:17;P18;Male;26;Yes;4;3;3;3;2;3;3;3;2;3;3;2,8;28;5;4;5;4;3;2;1;1;1;3;5;5;5;4;3;4;2;3;4;4;65;21;8;22;17;Without pop-up questions;250;13;5;5;6;9;5;2;9;8;7;9;9;8;With pop-up questions;407;624;356;19;8;4;8;9;7;2;9;7;8;8;9;8;7;6;10;9;130;120;190;166;Reducing waiting time, Reducing total completion time, Workspace layout (how space is divided between me and the robot);My goal was to reduce the time for the task. Therefore, I tried to assign task to the robot where I need to do the tasks which the robot cannot perform. Then I had a look at the layout where I need to perform the task to enable work in parallel. And if possible I assigned to to me because I am faster.;I did not really consider this because it was already predefined which task the robot can do which tasks the robot cannot do but for example the assempz of the dovetail i take over because at the first place it was not fully assembled. All the other task are very good performed by the robot.;I would say not but it was good to have his support at the task to work in parallel.;Not always because for example at both round the robot finished already earlier than be which could be more optimized but generally it was a good balance;If the movments are faster then probably yes because this is currently from my perspective which makes him slow.;I would consider us as a team because we worked together on the project and were successfully.;I did not really consider the qualitites of the robot because in the first place I saw the robot is able to do the task good and this supported that I can assign him the available task and do not consider other qualities of the robots.;No, I always saw it the way that the robot and I am a team and we are working together on the project to finish it fast..;I would better manage it that I and the robot finish at the same time because when the robot is doing nothing at the and it does not really reduce the cycle time. And also consider more the layout because at a run I looked at the wrong workplace because the arranged differently where the robot is comming and then I could not work that in parallel as I wished.
9/10/2025 16:36:16;P10;Male;30;Yes;4;4;3;3;3;4;4;4;4;3;4;3,6;36;4;5;5;5;2;1;4;1;1;2;5;5;5;5;5;1;1;1;2;2;78;21;9;25;7;Without pop-up questions;269;15;2;5;5;10;6;1;10;10;10;7;10;3;With pop-up questions;280;470;376;22;4;3;3;10;2;1;10;10;7;10;10;3;8;7;11;11;147;122;188;188;Reducing waiting time, Reducing total completion time, My own performance/abilities, Robot’s limitations for certain tasks;efficiency;very impressive;in most of the pick and place tasks the robot is better than myself;yes, even though I prefer to hand more of the tasks to the robot;yes, certainly;it felt like a team working on the same task, because the robot waited for me to complete;speed, precision;yes. in the beginning I thought about allocating all of the tasks, in the end I figured out that we would be faster if the tasks are distributed more evenly;in the long run I would assign more tasks to the robot even though this would mean a slight decrease in productivity overall
9/10/2025 17:42:23;P19;Male;22;No;3;4;3;4;3;3;4;3;3;3;3;3,3;33;4;4;4;3;3;2;2;3;2;3;4;4;3;4;3;4;4;4;5;4;57;18;12;18;21;Without pop-up questions;287;17;4;6;6;9;5;1;8;9;8;8;8;6;With pop-up questions;558;361;359;16;8;5;7;9;7;2;9;6;9;9;8;7;9;8;7;9;145;142;208;151;Reducing waiting time, Reducing total completion time, Workspace layout (how space is divided between me and the robot), My own performance/abilities;With the reasons mentioned above and the mock tries before the main experiment.;I believe there is room for improvments as in doing more difficults tasks and make the task devition more fair.;No, everything could actually be done easily as a human, but in the matter of collaboration, it did help with the time efficiency.;the last time yes, but as in fairness of task allocation, I belive it could learn more things to do.;Yes definatly.;The last round yes I would say. but overall I felt like allocation of the tasks, answering the pop up questions, and also working on the main tasks puts you kinda in a leading position, and also being aware of the position and the doings of the robat.;Speed, Movement and positioning;Yes, the last round I was happy that i caculated its speed and movement, therefore I felt we were working more as one, rather than just waiting for each other.;Nothing really, I feel like I found the best task allocation combination for both of us.
9/12/2025 9:37:26;P20;Female;27;Yes;4;3;2;1;3;4;4;2;4;4;3;3;30;2;2;2;4;5;1;1;1;1;3;5;5;5;5;5;1;4;2;4;5;69;15;7;25;16;Without pop-up questions;272;15;1;1;3;10;3;3;10;10;10;10;10;7;With pop-up questions;125;413;413;18;4;2;5;8;7;4;8;6;3;4;10;7;8;7;9;9;140;132;249;164;Reducing waiting time, Reducing total completion time, Workspace layout (how space is divided between me and the robot), My own performance/abilities, Robot’s limitations for certain tasks;I tried to analyze previous experiments to understand robot's and mine bottlenecks and tried to reduce waiting time for both of us and ensure that me and robot finish simultaneously.;It was very capable.;Yes, in quickly identifying the correct parts which should be placed next.;Yes.;Yes.;I felt as a team.;"Speed of robot (sometimes it was slow in getting parts, and it was quicker to do it myself once a building was ""started""). It was also nicer to let robot begin the tasks, because after the first part was placed i knew what to do.";Not really.;I think my last two strategies were pretty efficient, I would stay with them.
9/12/2025 10:42:29;P21;Male;28;No;4;3;3;3;2;2;4;2;3;3;4;2,9;29;3;4;3;3;1;1;2;2;2;4;5;5;5;5;5;4;3;4;4;4;66;14;11;25;19;Without pop-up questions;401;22;2;2;2;9;4;1;8;3;8;8;8;2;With pop-up questions;523;166;472;19;6;4;7;7;7;3;7;2;6;6;9;2;11;11;9;10;205;196;208;264;Reducing waiting time, Reducing total completion time;I tried to assign as many tasks to the robot as possible;It is performing most of its assigned tasks well.;No;Yes;Yes, many times the robot finished its assigned before I could finish mine;The robot behaves dominant during the task, as it does not wait for the human to finish his or her task to avoid collisions.;The amount of tasks it is capable to perform.;No;Yes, I would change the order. So that the human has to wait only as little as possible to start with the tasks assigned.
9/12/2025 11:50:51;P22;Female;26;Yes;4;4;3;4;4;3;4;4;4;4;4;3,8;38;4;3;3;3;4;1;3;1;1;2;4;3;3;4;3;4;2;2;5;3;61;17;8;17;16;Without pop-up questions;346;20;2;2;2;9;3;1;9;8;8;8;10;2;With pop-up questions;254;406;396;22;3;3;5;9;6;1;9;7;7;7;10;2;10;10;11;11;172;174;175;221;My own performance/abilities, Robot’s limitations for certain tasks, My safety (avoiding collisions with the robot);After experimenting with the robot, I found that for example It woulkd be more efficient for me if I do the Wheel task by myself.;I thought it is quite interesting what he is capable of doing and it would make thing more efficient or easy if thez are implementet in some tasks or activities.;Not really, I mean I can also place the things in their forms. The Robot also took its time to place the figures and sometimes they are not quite fix placed.;Yes, it did. It felt alright, like a team work;Sure, I think so.;It felt like a teamworked, while I was busy doing some tasks, he managed to do the rest.;It was more the position of the Bilduing rather than the Robot capacities. The way he moved also influenced wether I should start with a task or another.;No, I think it is useful and could be really nice id in the future could do more things.;Mazbe the position of the Wheel and the Hospital. If you want the  robot to do most of the things but zou also want to be readz with your tasks, then you will probablz start with these 2 task, but because they are to aproximated to each other, it is kind of difficult to work wihtout colliding with the robot.
9/12/2025 13:53:01;P23;Female;33;Yes;3;4;3;4;3;4;3;2;4;4;3;3,4;34;4;5;4;4;5;2;3;3;2;3;5;5;2;5;5;1;4;2;5;5;65;22;13;22;17;Without pop-up questions;409;22;8;3;8;10;3;8;10;10;10;10;9;1;With pop-up questions;1013;90;402;22;4;3;4;10;10;3;10;10;9;10;10;1;11;11;11;11;201;208;199;203;Reducing waiting time, Reducing total completion time, Workspace layout (how space is divided between me and the robot), Working at a comfortable pace, Robot’s limitations for certain tasks, My safety (avoiding collisions with the robot);If robot can do the tasks, than assign to robot.;Supporting task, ex. Holding a block during screwing or putting the blocks on the right place. avoiding colisions with my arms. ;yes, at the beginnig of the expereiment. Because I needed to unterstand the building process and it tooks some time at first. ;yes. There was clear definition of which tasks can be done with robots and human. ;yes, certainly, ex. Screwing or Cliking (?) of the Snap.;I felt I was the lead because I had to controlled and mangend the path of my amrs to avoid a collisions or checked in which stage the robot is working.;Capability of the Robot - Can robot do this? ;yes, more positive;I would rellocate the tasks in the order of the position of the blocks > Robot puts the blocks from front to back so I can screw the Wheel and the hospital without collisions with the robot. 
9/12/2025 15:07:41;P24;Female;37;No;2;4;3;4;3;3;4;3;3;4;3;3,4;34;3;4;3;3;3;2;3;2;2;2;5;5;3;4;4;5;4;4;3;3;62;16;11;21;19;Without pop-up questions;370;22;1;4;3;3;1;1;3;2;4;4;1;1;With pop-up questions;198;369;561;22;3;3;4;8;5;7;6;7;5;3;1;1;11;11;11;11;180;190;270;291;more tasks for robot and less for me;assign to robot as much as possible;safe enough but very slow;nope;no;no;team working: yes, lead robot: so so;no specific quality, I prefer to perfom less tasks;yes, it executed tasks slowly;maybe less tasks to robot
9/12/2025 16:04:39;P25;Female;23;Yes;4;4;3;3;4;3;4;3;2;3;3;3,2;32;5;3;3;4;1;1;2;1;1;1;5;5;5;4;5;2;2;1;3;4;72;16;6;24;12;Without pop-up questions;335;20;2;2;2;10;2;1;10;8;8;7;10;7;With pop-up questions;464;187;300;18;4;2;5;8;5;3;10;9;9;8;10;8;11;9;9;9;185;150;147;153;Reducing waiting time, Reducing total completion time, Workspace layout (how space is divided between me and the robot), Robot’s limitations for certain tasks;I tried to allocate the tasks in a way that both the robot and I had something to do at all times. Usually i did the more complex tasks, while the robot did things where it only had to place the buildings.;"It was capable of everything it was assigned to do, however some things were just faster to do by myself. 
I thought the robot could also to some of the screws but i am aware that this is more complex since it can´t really place the screw and screw it in at the same time. ";Yes, it was faster at finding the blocks and where to put them. Although i also got faster at it while completing the experiment more often.;yes;yes, but i would still want the total time to be minimal so I would take that into consideration;yes;"The fact that it doesnt do any screwing and, i also tried to the tasks that requires more ""complex"" movement as these take rather long.";no;Maybe I would place something myself to at the end so i am not watching the robot finsish while doing nothing.
9/12/2025 17:16:24;P26;Female;31;Yes;4;3;3;3;2;2;3;2;2;2;2;2,4;24;4;4;4;5;5;2;2;2;2;4;5;5;5;5;4;4;3;3;5;3;66;22;12;24;18;Without pop-up questions;305;16;8;8;9;9;8;1;9;10;10;10;9;3;With pop-up questions;64;158;410;16;7;9;8;10;7;2;9;10;9;9;9;4;8;8;7;9;164;141;225;185;Random choice, Reducing waiting time, Robot’s limitations for certain tasks;In couple of tasks random, for the others considered waiting time for efficiency;Good, just it could be better for putting parts in the places more precisely.;Yes, for some parts I was mixing the directions, e.g. hospital. The robots could put it faster than me.;Yes.;Exactly. I allocated some parts to me since I saw that it was more difficult to put it precisely.;I can consider. Just I should check afterwards what the robot completed whether it is correct.;The interlocking of two parts, e.g. dovetail;Yes, I was not sure how we could collaborate together while assembling two pieces together closely like in the hospital part. But surprisingly got used to work with it.;"I wouldn't work with him on the same task; I would allocate him tasks that I wasn't involved in. This slowed me down more than it should have."
9/15/2025 11:48:54;P27;Female;25;Yes;4;3;3;3;4;3;4;4;4;4;3;3,5;35;5;4;4;1;1;1;2;1;1;1;3;4;5;4;5;3;2;1;4;2;69;15;6;21;12;Without pop-up questions;295;17;2;4;2;10;3;1;9;10;8;8;9;6;With pop-up questions;530;139;412;22;6;2;5;10;4;2;10;10;9;9;10;2;9;8;11;11;156;139;196;216;Reducing waiting time, Reducing total completion time, Workspace layout (how space is divided between me and the robot);"
When I had the feeling that I could do it faster without stress due to other tasks that I have. So if I had enough time at that point I would rather assign some task to myself.";It did everything what it was programmed to do and that was very precise.;Not really, but it had more time to do the tasks when I was answering questions. It was nice to split the workload.;Yes, because I splitted the workload for my preferences so it feels balanced and fairly splitted.;Yes, I would also let him put the screws if he could do it and would not need much longer than me.;It felt more like a team, as I gave it nearly all of the tasks it could do.;The speed.;No, it always did exactly what I told him to do.;I would look on the board and try to allocate the tasks in an order, so I will not have to pause my current task because the robot is getting in my way.
9/15/2025 13:44:16;P28;Male;24;Yes;3;3;3;3;3;3;4;2;4;3;3;3,1;31;4;4;4;3;2;1;1;1;1;1;5;5;5;4;4;2;2;2;2;3;72;17;5;23;11;Without pop-up questions;220;12;3;4;3;10;3;2;6;7;8;7;9;3;With pop-up questions;254;497;326;18;6;4;7;9;6;1;8;8;7;7;9;6;6;6;9;9;105;115;163;163;Reducing waiting time, Reducing total completion time, Working at a comfortable pace, Robot’s limitations for certain tasks;increasing collaboration by distributing the tasks between me and the robot, taking the time it takes it or me to complete the task as an indicator ;good for the task;not realy, but it was more consistent and did not need to learn the process;yes;yes, e.g. the screwing ;when allocating the tasks I felt like the leader, but when working I felt like a team with the robot;the speed of the robot;slightly to the positive, precision was good.;some minor changes for better distribution between me and the robot
9/16/2025 11:32:36;P29;Male;29;Yes;4;4;4;3;3;3;4;4;4;4;4;3,7;37;2;2;3;2;2;3;3;1;1;2;5;5;4;5;2;5;5;5;5;5;56;11;10;21;25;Without pop-up questions;240;11;2;2;3;10;3;1;10;10;10;10;10;4;With pop-up questions;454;159;260;12;4;2;5;10;5;1;10;10;10;10;10;4;8;3;6;6;149;91;135;125;Reducing waiting time, Reducing total completion time, My own performance/abilities, Robot’s limitations for certain tasks;If I can finish the task before in time so he can start with the following aready, or calculating in some buffer time to answer some questions.;He can offload task but cant do them better;No, he was there to paralellisiese the task while I had to answer questions or so ;For me yes, but it was not equal for both;No he is not more capable;I was the lead;Speed;No;No everything worked out perfectly
9/16/2025 13:34:55;P30;Female;25;Yes;2;3;2;3;3;4;4;2;3;3;3;3;30;4;3;2;2;1;1;4;2;1;4;5;5;5;5;3;5;4;5;5;4;60;12;12;23;23;Without pop-up questions;336;16;4;3;6;10;6;2;9;7;8;8;10;5;With pop-up questions;276;378;420;20;7;3;5;10;6;7;8;9;9;9;9;3;9;7;10;10;174;162;192;228;Reducing waiting time, Reducing total completion time, Working at a comfortable pace;I would rather have the robot complete the whole building by itself than sharing the building with the robot;I was precise, one time it didnät fit the block exactly in the correct spot but overall it was capable of completing all tasks;at the beginning, I was a bit confused which side should some buildings face and the robot was quicker to put the blocks down correctly;yes, depending on the task allocation;yes, I would let the robot do everything;we were a team;the lenght of the performed task, if we had to collaborate on a building, I would put this task as one of the first so then when I have to spend time screwing the screws, the robot could build the blocks themselves;no;I would try to allocate them in a way that the robot is not in my way when Im screwing the screws
